symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
MARICO,50031.0,387.55,27.17,42.29,1.22,33.88,33.38,7.1,1.0
MARUTI,215199.0,7124.0,1527.0,30.92,1.12,18.53,13.27,14.34,5.0
MFSL,10920.0,405.35,74.24,75.05,0.0,3.92,2.53,16.48,2.0
MAXINDIA,1721.0,64.05,64.36,,0.0,-0.97,-1.06,-6.08,2.0
METROPOLIS,6376.0,1271.0,82.79,63.33,1.04,38.01,25.83,18.5,2.0
MINDTREE,12004.0,729.4,182.9,19.45,4.51,31.17,24.94,17.4,10.0
MINDACORP,1851.0,81.45,38.22,16.28,0.86,19.78,17.34,49.87,2.0
MINDAIND,9365.0,357.15,41.87,66.67,0.31,15.45,13.77,12.65,2.0
MOTHERSUMI,34532.0,109.35,20.39,43.28,1.37,16.63,12.89,12.72,1.0
MOTILALOFS,9441.0,640.25,175.89,29.17,1.31,12.99,13.0,122.0,1.0
MPHASIS,17213.0,923.65,175.13,21.39,2.92,25.92,21.41,5.51,10.0
MCX,5126.0,1005.0,282.81,25.7,1.99,11.53,10.96,2.45,10.0
MUTHOOTFIN,26212.0,654.1,243.13,13.04,1.83,16.22,22.41,12.16,10.0
NATCOPHARM,10443.0,574.15,195.9,16.68,1.09,23.54,19.63,23.32,2.0
NBCC,6174.0,34.3,8.69,18.07,1.9,33.1,22.68,7.62,1.0
NCC,3045.0,50.7,79.19,5.27,2.96,22.34,13.1,13.21,2.0
NESCO,4030.0,572.0,165.74,22.32,0.44,23.19,16.56,11.18,2.0
NHPC,23405.0,23.3,29.08,8.44,6.27,11.55,10.22,3.54,10.0
NIITTECH,8780.0,1407.0,272.98,31.92,0.0,23.48,18.88,10.44,10.0
NLCINDIA,7349.0,53.0,90.23,5.68,8.55,10.69,9.96,2.89,10.0
NMDC,31292.0,102.2,84.76,6.46,5.4,28.17,18.38,23.47,1.0
NTPC,117448.0,118.7,108.55,9.98,5.12,5.79,11.34,8.43,10.0
NH,4739.0,231.9,57.15,67.58,0.43,7.49,4.39,12.21,10.0
NATIONALUM,7537.0,40.4,56.2,6.35,14.23,25.99,16.51,19.04,5.0
NFL,1226.0,25.0,45.23,6.35,7.44,11.36,14.08,16.44,10.0
NBVENTURES,1308.0,74.2,164.97,8.36,2.05,8.98,5.88,9.8,2.0
NAVINFLUOR,3705.0,748.95,214.14,24.97,1.04,22.07,14.43,14.5,2.0
NESTLEIND,139971.0,14517.0,414.32,82.87,0.79,70.93,45.3,11.37,10.0
NETWORK18,2052.0,19.6,12.5,,0.0,-4.44,-14.26,18.36,5.0
NILKAMAL,1806.0,1210.0,592.75,16.34,1.07,19.33,13.25,7.45,10.0
OBEROIRLTY,18738.0,515.35,166.0,67.23,0.39,10.87,8.58,-4.56,10.0
ONGC,177885.0,141.4,161.36,6.72,4.95,19.13,13.48,12.24,5.0
OIL,17735.0,163.55,255.86,5.26,6.27,14.22,11.75,12.04,10.0
OMAXE,3415.0,186.7,86.92,130.63,0.37,10.62,1.44,-7.2,10.0
OFSS,26526.0,3090.0,452.05,21.13,0.0,51.68,33.37,0.49,5.0
ORIENTCEM,1728.0,84.35,51.42,19.77,0.89,8.26,4.58,19.92,1.0
ORIENTELEC,3453.0,162.75,14.45,45.36,0.61,29.12,24.72,,1.0
ORIENTREF,2517.0,209.55,31.33,27.91,1.19,39.68,25.7,17.69,1.0
ORIENTBANK,7139.0,52.1,137.94,12.73,0.0,3.53,0.35,-3.96,10.0
PCJEWELLER,1276.0,32.3,99.66,,0.0,6.47,-1.49,4.99,10.0
PIIND,18142.0,1314.0,164.8,42.5,0.3,24.68,19.13,10.66,1.0
PNBHOUSING,6906.0,410.75,442.19,5.69,2.18,9.66,15.45,40.49,10.0
PNCINFRA,4433.0,172.8,82.45,13.74,0.29,16.86,15.36,15.42,2.0
PTC,1584.0,53.5,112.44,6.01,7.48,13.22,8.01,2.65,10.0
PVR,8907.0,1841.0,250.01,65.83,0.1,17.74,15.17,16.88,10.0
PAGEIND,24034.0,21555.0,695.06,63.22,1.6,68.73,47.53,16.68,10.0
PARAGMILK,1290.0,153.35,98.09,11.24,0.65,16.78,14.8,13.07,10.0
PERSISTENT,4670.0,606.75,288.56,15.26,1.86,18.77,13.52,10.64,10.0
PETRONET,39443.0,262.95,67.11,18.53,3.8,30.34,21.79,12.27,10.0
PFIZER,14619.0,3196.0,658.25,32.49,0.7,23.22,15.07,1.13,10.0
PHILIPCARB,2041.0,118.45,95.63,5.74,2.96,25.41,25.73,23.05,2.0
PHOENIXLTD,10744.0,700.65,178.98,61.73,0.43,8.4,6.51,7.36,2.0
PIDILITIND,68943.0,1357.0,82.42,68.94,0.48,34.9,24.7,8.81,1.0
PEL,29215.0,1469.0,981.69,153.96,1.77,6.11,1.87,2.75,2.0
POLYCAB,10692.0,719.3,191.66,19.26,0.4,27.87,19.25,14.99,10.0
PFC,25120.0,95.15,163.96,3.62,0.0,9.41,17.33,1.53,10.0
POWERGRID,103429.0,197.7,112.81,10.22,4.21,10.56,22.04,18.19,10.0
PRAJIND,1938.0,105.95,40.26,26.93,2.0,9.75,7.45,3.87,2.0
PRESTIGE,10733.0,286.2,113.33,32.2,0.52,7.85,6.08,-9.2,10.0
PRSMJOHNSN,3863.0,76.75,22.69,26.18,0.65,16.29,14.2,4.11,10.0
PGHL,7373.0,4441.0,448.07,8.65,9.91,78.16,73.25,-3.32,10.0
PGHH,37959.0,11694.0,280.05,90.57,0.34,89.1,56.85,1.71,10.0
PNB,27187.0,59.05,97.28,,0.0,2.5,-23.28,2.66,2.0
QUESS,6791.0,462.4,176.7,29.32,0.0,10.08,9.43,24.36,10.0
RBLBANK,12496.0,290.2,175.28,13.24,0.92,7.35,12.18,31.92,10.0
